,Player_Id,Player,Assists,Shifts,BLOCK,GOAL (BACKHAND),GOAL (DEFLECTED),GOAL (SLAP SHOT),GOAL (SNAP SHOT),GOAL (TIP-IN),GOAL (WRAP-AROUND),GOAL (WRIST SHOT),HIT,PENL (FIGHTING),PENL (OTHER)
104,8474589,TYLER ENNIS,16.0,911,24.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,70.0,0.0,8.0
105,8474590,JOHN CARLSON,58.0,2321,121.0,0.0,0.0,6.0,0.0,0.0,0.0,10.0,87.0,0.0,9.0
106,8474600,ROMAN JOSI,73.0,2331,142.0,1.0,0.0,10.0,3.0,0.0,0.0,8.0,72.0,0.0,22.0
107,8474602,JUSTIN SCHULTZ,21.0,1853,92.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,46.0,0.0,11.0
108,8474610,ZAC DALPE,,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
109,8474612,TRAVIS HAMONIC,6.0,1002,93.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,73.0,0.0,7.0
110,8474613,DEREK STEPAN,10.0,964,25.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,35.0,0.0,6.0
111,8474618,MARCO SCANDELLA,11.0,1997,74.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,114.0,0.0,9.0
112,8474628,MICHAEL STONE,7.0,496,22.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,40.0,0.0,3.0
113,8474641,ADAM HENRIQUE,23.0,1305,47.0,1.0,3.0,1.0,1.0,5.0,0.0,8.0,22.0,0.0,7.0
114,8474673,TJ BRODIE,26.0,2417,122.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,66.0,0.0,19.0
115,8474679,GUSTAV NYQUIST,35.0,1858,51.0,4.0,0.0,0.0,2.0,4.0,0.0,5.0,41.0,0.0,13.0
116,8474683,DEREK GRANT,14.0,1442,49.0,1.0,0.0,0.0,1.0,5.0,0.0,6.0,69.0,1.0,6.0
117,8474688,GREG PATERYN,1.0,186,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0
118,8474697,MARK BOROWIECKI,4.0,1135,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,14.0,19.0
119,8474709,MATT MARTIN,4.0,1179,26.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,235.0,6.0,15.0
120,8474715,CAM ATKINSON,27.0,1838,45.0,0.0,1.0,2.0,5.0,5.0,0.0,8.0,20.0,0.0,3.0
121,8474716,JARED SPURGEON,33.0,1702,90.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,46.0,0.0,7.0
122,8474722,LUKE WITKOWSKI,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
123,8474818,JORDIE BENN,7.0,763,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51.0,0.0,5.0
124,8474849,ANTOINE ROUSSEL,4.0,1040,34.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,74.0,2.0,11.0
125,8474870,TYLER JOHNSON,4.0,445,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.0,0.0,6.0
126,8474884,MIKE HOFFMAN,20.0,1350,28.0,1.0,0.0,4.0,2.0,0.0,0.0,7.0,27.0,0.0,17.0
127,8475098,TYLER BOZAK,9.0,1035,24.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,39.0,0.0,7.0
128,8475149,MARCUS JOHANSSON,21.0,1537,32.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,41.0,0.0,2.0
129,8475151,KYLE PALMIERI,18.0,1467,18.0,1.0,0.0,1.0,4.0,2.0,0.0,7.0,77.0,3.0,19.0
130,8475158,RYAN O'REILLY,42.0,2188,49.0,2.0,1.0,1.0,5.0,1.0,0.0,18.0,30.0,0.0,7.0
131,8475160,KYLE CLIFFORD,3.0,327,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,3.0,5.0
132,8475163,ALEX CHIASSON,9.0,1088,18.0,1.0,2.0,0.0,2.0,2.0,0.0,6.0,68.0,0.0,7.0
133,8475164,JAKOB SILFVERBERG,16.0,1264,40.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,0.0,14.0
134,8475166,JOHN TAVARES,52.0,1834,52.0,3.0,2.0,1.0,4.0,6.0,0.0,14.0,105.0,0.0,17.0
135,8475167,VICTOR HEDMAN,81.0,2886,171.0,1.0,0.0,10.0,1.0,0.0,0.0,8.0,129.0,0.0,22.0
136,8475168,MATT DUCHENE,43.0,1805,31.0,3.0,2.0,1.0,4.0,1.0,0.0,33.0,40.0,0.0,16.0
137,8475169,EVANDER KANE,21.0,1284,17.0,5.0,2.0,1.0,8.0,2.0,2.0,14.0,208.0,0.0,37.0
138,8475170,BRAYDEN SCHENN,42.0,1630,27.0,2.0,1.0,1.0,6.0,3.0,0.0,11.0,163.0,3.0,16.0
139,8475171,OLIVER EKMAN-LARSSON,24.0,2214,79.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,105.0,0.0,26.0
140,8475172,NAZEM KADRI,67.0,1995,24.0,3.0,0.0,4.0,0.0,5.0,0.0,21.0,72.0,3.0,24.0
141,8475176,RYAN ELLIS,4.0,117,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
142,8475177,CALVIN DE HAAN,4.0,1718,172.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,146.0,1.0,12.0
143,8475178,ZACK KASSIAN,15.0,1093,6.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,206.0,3.0,20.0
144,8475179,DMITRY KULIKOV,18.0,1833,103.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,104.0,1.0,18.0
145,8475181,NICK LEDDY,25.0,2095,73.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,48.0,0.0,12.0
146,8475184,CHRIS KREIDER,31.0,2349,48.0,9.0,1.0,3.0,8.0,19.0,0.0,21.0,193.0,0.0,19.0
147,8475186,JOHN MOORE,1.0,163,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0
148,8475188,BRAYDEN MCNABB,15.0,1617,177.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,154.0,2.0,13.0
149,8475191,REILLY SMITH,22.0,1243,23.0,1.0,1.0,1.0,1.0,3.0,0.0,7.0,54.0,0.0,4.0
150,8475193,TOMAS TATAR,14.0,1598,28.0,3.0,1.0,0.0,7.0,0.0,0.0,4.0,73.0,0.0,11.0
151,8475197,TYSON BARRIE,38.0,1898,94.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,39.0,0.0,13.0
152,8475200,DMITRY ORLOV,24.0,2142,106.0,1.0,0.0,4.0,2.0,0.0,0.0,5.0,143.0,0.0,22.0
153,8475208,BRIAN DUMOULIN,15.0,2115,140.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,89.0,0.0,11.0
154,8475209,RICHARD PANIK,1.0,75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
155,8475218,MATTIAS EKHOLM,27.0,2235,104.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,90.0,0.0,19.0
156,8475220,MARCUS FOLIGNO,21.0,1623,44.0,2.0,0.0,0.0,1.0,5.0,0.0,13.0,263.0,10.0,23.0
157,8475225,CRAIG SMITH,20.0,1529,31.0,1.0,0.0,0.0,4.0,0.0,0.0,10.0,104.0,0.0,15.0
158,8475227,CHRIS WIDEMAN,23.0,1233,46.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,44.0,1.0,21.0
159,8475231,CASEY CIZIKAS,6.0,1539,43.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,138.0,0.0,23.0
160,8475233,DAVID SAVARD,13.0,1412,126.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,133.0,0.0,18.0
161,8475235,NICOLAS DESLAURIERS,5.0,1337,51.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,275.0,14.0,13.0
162,8475236,CODY EAKIN,8.0,1336,29.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,33.0,0.0,9.0
163,8475246,KEVIN CONNAUTON,2.0,710,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,2.0
164,8475279,BEN CHIAROT,17.0,2124,145.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,190.0,0.0,24.0
165,8475287,ERIK HAULA,28.0,1658,42.0,0.0,0.0,1.0,8.0,3.0,0.0,5.0,144.0,1.0,24.0
166,8475314,ANDERS LEE,18.0,1613,30.0,5.0,1.0,0.0,5.0,6.0,0.0,10.0,94.0,0.0,17.0
167,8475324,NICK JENSEN,16.0,2031,102.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,143.0,1.0,9.0
168,8475343,NIC DOWD,15.0,1468,55.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,159.0,0.0,23.0
169,8475413,JUSTIN DOWLING,2.0,325,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,1.0
170,8475455,BRENDEN DILLON,16.0,1893,108.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,207.0,5.0,21.0
171,8475461,ANDREW AGOZZINO,,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
172,8475462,RADKO GUDAS,15.0,2199,129.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,400.0,7.0,31.0
173,8475625,MATT IRWIN,3.0,286,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,0.0,2.0
174,8475690,CHRISTOPHER TANEV,23.0,2736,174.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,56.0,0.0,10.0
175,8475692,MATS ZUCCARELLO,58.0,1465,36.0,0.0,1.0,2.0,1.0,2.0,0.0,18.0,40.0,0.0,12.0
176,8475714,CALLE JARNKROK,21.0,1754,22.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,54.0,0.0,3.0
177,8475718,JUSTIN HOLL,21.0,1909,111.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,146.0,1.0,20.0
178,8475722,JASON ZUCKER,11.0,854,22.0,2.0,0.0,0.0,1.0,1.0,0.0,4.0,89.0,1.0,6.0
179,8475726,TYLER TOFFOLI,30.0,1977,24.0,3.0,0.0,3.0,0.0,2.0,0.0,14.0,96.0,0.0,10.0
180,8475728,JOHAN LARSSON,16.0,1025,27.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,90.0,2.0,12.0
181,8475735,GREG MCKEGG,3.0,650,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,0.0,2.0
182,8475744,EVGENY KUZNETSOV,57.0,2037,27.0,2.0,1.0,1.0,4.0,0.0,0.0,12.0,44.0,0.0,19.0
183,8475745,CHARLIE COYLE,32.0,1931,45.0,2.0,0.0,0.0,2.0,2.0,0.0,11.0,102.0,0.0,12.0
184,8475747,PATRIK NEMETH,5.0,1490,106.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,123.0,0.0,18.0
185,8475750,JON MERRILL,17.0,1556,124.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,49.0,0.0,11.0
186,8475752,TYLER PITLICK,4.0,636,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.0,3.0
187,8475753,JUSTIN FAULK,38.0,2805,120.0,0.0,1.0,2.0,2.0,1.0,0.0,9.0,183.0,2.0,17.0
188,8475754,BROCK NELSON,22.0,1657,43.0,4.0,2.0,2.0,3.0,1.0,0.0,23.0,31.0,1.0,14.0
189,8475760,NICK BJUGSTAD,6.0,796,14.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,99.0,0.0,7.0
190,8475762,DEREK FORBORT,10.0,1975,118.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,152.0,2.0,19.0
191,8475763,KEVIN HAYES,21.0,1103,12.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,36.0,0.0,8.0
192,8475764,CAM FOWLER,33.0,2087,116.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,37.0,0.0,8.0
193,8475765,VLADIMIR TARASENKO,51.0,1967,48.0,1.0,1.0,2.0,8.0,1.0,0.0,27.0,104.0,0.0,10.0
194,8475766,AUSTIN WATSON,6.0,1234,63.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,213.0,7.0,24.0
195,8475768,JADEN SCHWARTZ,15.0,838,13.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,42.0,0.0,7.0
196,8475772,RILEY SHEAHAN,13.0,1218,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,1.0
197,8475780,CHRIS WAGNER,,72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
